Date, Mean TemperatureF, Mean Humidity, Mean Wind SpeedMPH, Events,0
2014-5-5,8,4,1,0
2014-5-6,8,3,1,0
2014-5-7,8,4,1,0
2014-5-8,8,6,1,0
2014-5-9,9,6,2,0
2014-5-10,8,7,2,1
2014-5-11,8,10,1,1
2014-5-12,8,9,1,0
2014-5-13,8,8,1,0
2014-5-14,8,9,1,0
2014-5-15,7,10,1,1
2014-5-16,7,5,2,0
2014-5-17,7,6,1,0
2014-5-18,7,10,1,1
2014-5-19,7,8,1,0
2014-5-20,7,7,1,0
2014-5-21,8,5,2,0
2014-5-22,9,5,1,0
2014-5-23,9,7,1,1
2014-5-24,8,6,1,0
2014-5-25,8,10,1,1
2014-5-26,8,10,1,0
2014-5-27,8,10,1,1
2014-5-28,8,10,1,1
2014-5-29,8,10,1,1
2014-5-30,8,10,1,1
2014-5-31,8,10,1,1
2014-6-1,8,7,1,0
2014-6-2,7,8,1,0
2014-6-3,8,8,1,0
2014-6-4,9,7,1,0
2014-6-5,9,6,2,0
2014-6-6,9,9,1,1
2014-6-7,8,10,1,1
2014-6-8,8,10,1,1
2014-6-9,9,10,1,1
2014-6-10,9,8,1,0
2014-6-11,9,10,1,1
2014-6-12,8,10,1,1
2014-6-13,8,10,1,0
2014-6-14,9,8,1,0
2014-6-15,9,9,1,1
2014-6-16,9,10,1,1
2014-6-17,9,8,1,0
2014-6-18,9,7,1,0
2014-6-19,9,7,1,0
2014-6-20,9,6,1,0
2014-6-21,9,7,1,1
2014-6-22,9,7,1,0
2014-6-23,9,9,1,0
2014-6-24,9,10,1,1
2014-6-25,9,10,1,1
2014-6-26,9,6,1,0
2014-6-27,9,10,1,1
2014-6-28,8,10,1,0
2014-6-29,9,9,1,0
2014-6-30,9,10,1,1
2014-7-1,9,9,1,0
2014-7-2,9,8,1,0
2014-7-3,9,9,1,1
2014-7-4,9,7,1,0
2014-7-5,8,5,1,0
2014-7-6,8,9,1,0
2014-7-7,9,10,1,1
2014-7-8,9,8,1,0
2014-7-9,9,8,1,0
2014-7-10,9,10,1,1
2014-7-11,8,10,1,1
2014-7-12,9,10,1,0
2014-7-13,9,9,1,0
2014-7-14,9,9,1,0
2014-7-15,9,10,1,1
2014-7-16,8,10,1,0
2014-7-17,8,8,1,0
