
MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2014-2-1,36,32,28,27,25,20,92,74,56,30.14,30.05,29.94,10,8,2,12,2,14,T,7,Snow,187<br />
2014-2-2,37,32,26,25,19,14,78,59,40,30.12,30.03,29.95,10,10,10,21,9,24,0.00,5,,180<br />
2014-2-3,40,32,24,30,22,17,81,63,44,29.96,29.88,29.82,10,9,1,15,6,19,0.00,5,Snow,171<br />
2014-2-4,33,26,19,28,20,15,100,75,49,30.19,30.01,29.84,10,8,1,18,5,22,0.08,6,Snow,297<br />
2014-2-5,33,26,19,21,15,8,84,63,41,30.19,30.14,30.08,10,10,10,16,9,19,0.00,4,,181<br />
2014-2-6,34,28,21,24,21,18,96,76,56,30.06,29.97,29.85,10,9,6,10,3,12,0.00,7,,341<br />
2014-2-7,43,35,26,32,28,24,92,73,53,29.89,29.85,29.80,10,9,1,22,10,28,0.01,7,Snow,188<br />
2014-2-8,46,44,41,41,37,32,96,82,67,30.01,29.94,29.81,10,10,6,29,13,36,0.12,8,Rain,169<br />
2014-2-9,48,44,40,43,39,37,100,86,71,30.03,29.98,29.91,10,9,3,29,10,35,0.20,8,Rain,156<br />
2014-2-10,47,43,38,40,37,30,100,83,65,30.23,30.10,29.94,10,6,0,14,6,17,0.25,6,Rain,325<br />
2014-2-11,50,42,33,33,30,27,89,66,42,30.21,30.18,30.12,10,10,10,15,8,18,0.00,5,,149<br />
2014-2-12,50,43,37,38,32,26,83,66,49,30.19,30.09,29.99,10,10,10,23,13,27,0.01,7,Rain,153<br />
2014-2-13,61,52,43,45,42,36,93,67,40,30.07,30.03,29.94,10,10,6,28,8,42,0.17,7,Rain-Thunderstorm,163<br />
2014-2-14,58,51,43,41,39,37,96,74,51,30.08,30.00,29.90,10,10,10,24,8,28,T,7,Rain,145<br />
2014-2-15,61,52,42,43,34,24,89,59,29,30.00,29.89,29.75,10,10,10,15,5,17,0.00,8,,132<br />
2014-2-16,60,51,42,35,28,22,76,50,24,30.25,29.91,29.68,10,10,9,33,16,41,0.01,5,Rain,226<br />
2014-2-17,59,46,33,31,24,14,89,53,16,30.25,30.03,29.87,10,10,10,24,14,31,0.00,3,,154<br />
2014-2-18,53,42,31,31,26,19,89,59,28,30.14,30.04,29.91,10,10,10,13,5,16,0.00,3,,219<br />
2014-2-19,52,42,32,35,25,12,92,61,29,30.13,29.88,29.67,10,8,1,26,15,36,0.04,6,Snow,323<br />
2014-2-20,44,38,31,18,15,10,54,41,27,30.29,30.20,30.11,10,10,10,12,6,16,0.00,5,,290<br />
2014-2-21,52,43,34,23,19,14,56,40,24,30.14,30.05,29.94,10,10,10,12,5,14,0.00,4,,118<br />
2014-2-22,54,44,33,25,22,18,69,48,26,29.99,29.96,29.92,10,10,10,10,5,13,0.00,6,,147<br />
2014-2-23,61,48,34,26,22,19,56,38,20,30.04,29.98,29.94,10,10,10,12,6,13,0.00,3,,144<br />
2014-2-24,62,52,41,32,24,21,45,34,22,30.05,29.99,29.94,10,10,10,13,7,15,0.00,6,,111<br />
2014-2-25,64,51,38,41,30,24,55,39,23,30.01,29.96,29.93,10,10,10,15,7,19,0.00,2,,211<br />
2014-2-26,65,53,40,43,37,33,82,58,34,30.00,29.90,29.75,10,10,10,12,5,16,0.00,3,,140<br />
2014-2-27,59,52,44,44,38,25,93,62,30,29.79,29.67,29.57,10,8,3,28,13,32,0.27,7,Rain,176<br />
2014-2-28,57,49,41,44,35,28,86,62,38,29.79,29.67,29.49,10,10,7,29,14,36,0.10,6,Rain,155<br />
